acc,bioproject,organism,count,broad_cat,mbases,host,project_name,manual_annot,is_pig_assoc
SRR5078295,PRJNA356353,algae metagenome,12,other,30390,"[""Delisea pulchra""]",,(unnanotated),""
SRR5819848,PRJNA365111,marine metagenome,16,other,49429,"[""not applicable""]",,(unnanotated),""
SRR25779740,PRJNA858821,wastewater metagenome,11,other,56383,"[""None""]",,(unnanotated),""
SRR22455139,PRJNA904067,aquatic viral metagenome,12,other,27077,,,(unnanotated),""
SRR5688572,PRJNA375189,soil metagenome,10,other,37409,"[""not applicable""]",,(unnanotated),""
ERR2683262,PRJEB27621,wastewater metagenome,9,other,10696,,,(unnanotated),""
SRR17418347,PRJNA792486,goat gut metagenome,13,other,27926,"[""Black goat""]",,(unnanotated),""
SRR30201817,PRJNA1146790,anaerobic digester metagenome,16,other,12454,"[""Sus scrofa""]",,(unnanotated),""
SRR12659389,PRJNA654926,soil metagenome,8,other,54556,"[""not applicable""]",,(unnanotated),""
SRR26457456,PRJNA1029073,soil metagenome,14,other,63420,"[""not applicable""]",,(unnanotated),""
SRR24495964,PRJNA967692,marine metagenome,9,other,19763,,,(unnanotated),""
SRR23086399,PRJNA919165,sediment metagenome,16,other,80091,"[""not collected""]",,(unnanotated),""
SRR19514064,PRJNA691704,lagoon metagenome,14,other,192914,,,(unnanotated),""
SRR8536199,PRJNA520935,bioreactor metagenome,10,other,46950,,,(unnanotated),""
ERR10048386,PRJEB52849,Equus asinus asinus,14,other,86366,,,(unnanotated),""
SRR3053176,PRJNA292471,bovine metagenome,13,other,5894,"[""Bos taurus""]",,(unnanotated),""
SRR13059284,PRJNA678365,bovine metagenome,13,other,6886,"[""Capra aegagrus hircus""]",,(unnanotated),""
SRR25822718,PRJNA1005436,activated sludge metagenome,14,other,126247,,,(unnanotated),""
SRR11566349,PRJNA308326,subsurface metagenome,12,other,130457,"[""not applicable""]",,(unnanotated),""
SRR5940681,PRJNA385554,insect metagenome,8,other,2653,"[""Chrysomya megacephala""]",,(unnanotated),""
ERR4678662,PRJEB40798,wastewater metagenome,16,other,32696,,,(unnanotated),""
SRR6219166,PRJNA405700,termite gut metagenome,8,other,54880,"[""not applicable""]",,(unnanotated),""
SRR22213181,PRJNA898608,bovine gut metagenome,8,other,6065,"[""Bos taurus indicus""]",,(unnanotated),""
ERR2586119,PRJEB26788,air metagenome,8,other,9022,,"[""Shotgun_Metagenomics""]",(unnanotated),""
ERR10048374,PRJEB52849,Equus asinus asinus,16,other,110207,,,(unnanotated),""
SRR9045848,PRJNA539535,microbial mat metagenome,13,other,37016,"[""not applicable""]",,(unnanotated),""
SRR23595529,PRJNA937903,soil metagenome,10,other,35462,"[""Triticum aestivum""]",,(unnanotated),""
SRR6485349,PRJNA404442,landfill metagenome,13,other,28660,,,(unnanotated),""
SRR16524960,PRJNA708966,bioreactor sludge metagenome,14,other,16327,,,(unnanotated),""
ERR3761233,PRJEB35770,lake water metagenome,10,other,35902,,"[""ena-STUDY-BIOLOGY CENTRE ASCR, V.V.I., INSTITUTE OF HYDROBIO-11-12-2019-16:15:02:404-1223""]",(unnanotated),""
