organism,is_pig_assoc,acc,bioproject,count,broad_cat,mbases,host,project_name
bovine gut metagenome,1,SRR3181157,PRJNA309291,11,other,11452,"[""Bos taurus""]",
bovine gut metagenome,1,ERR5684053,PRJEB43305,9,other,10757,,"[""PRJEB43305""]"
bovine gut metagenome,1,SRR2329910,PRJNA293646,11,other,6372,"[""cattle""]",
bovine metagenome,1,SRR10098301,PRJNA563872,14,other,15139,"[""Bos taurus""]",
mouse gut metagenome,0,SRR13741617,PRJNA600179,12,other,12012,"[""Mus musculus""]",
bovine gut metagenome,1,SRR5371401,PRJNA356291,16,other,14779,"[""Bos taurus""]",
bovine gut metagenome,1,SRR3185498,PRJNA309291,13,other,17111,"[""Bos taurus""]",
bovine metagenome,1,SRR10098329,PRJNA563872,14,other,12299,"[""Bos taurus""]",
Equus asinus asinus,1,ERR10048390,PRJEB52849,15,other,117519,,
bovine gut metagenome,1,ERR3801450,PRJEB33080,12,other,15627,,
bovine gut metagenome,1,SRR3181120,PRJNA309291,8,other,9721,"[""Bos taurus""]",
Equus asinus,1,SRR28806310,PRJNA1103961,13,other,13781,,
bovine gut metagenome,1,SRR5371425,PRJNA356291,15,other,27641,"[""Bos taurus""]",
bovine metagenome,1,SRR6512902,PRJNA420682,12,other,4355,"[""Bos taurus""]",
bovine gut metagenome,1,SRR13343630,PRJNA686811,12,other,12336,"[""cow""]",
bovine gut metagenome,1,SRR5371495,PRJNA356291,16,other,18425,"[""Bos taurus""]",
bovine gut metagenome,1,SRR8442993,PRJNA502607,13,other,72673,"[""Bos taurus""]",
bovine gut metagenome,1,SRR13433995,PRJNA691977,11,other,24867,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3220191,PRJEB31266,12,other,27396,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
Equus asinus asinus,1,ERR10048366,PRJEB52849,15,other,132222,,
bovine gut metagenome,1,SRR29517085,PRJNA1125719,10,other,14860,"[""Bos taurus""]",
sheep gut metagenome,1,SRR17274336,PRJNA783381,8,other,10103,"[""sheep131""]",
bovine metagenome,1,SRR6512891,PRJNA420682,12,other,4261,"[""Bos taurus""]",
bovine gut metagenome,1,SRR17023458,PRJNA779163,10,other,19215,"[""cattle""]",
Bos taurus,1,SRR24882551,PRJNA980404,9,other,14463,,
bovine gut metagenome,1,SRR3181115,PRJNA309291,10,other,12750,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3224571,PRJEB31266,9,other,26750,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR6512908,PRJNA420682,15,other,17584,"[""Bos taurus""]",
Equus asinus asinus,1,ERR10048378,PRJEB52849,13,other,89157,,
mouse gut metagenome,0,SRR13741621,PRJNA600179,15,other,13202,"[""Mus musculus""]",
bovine gut metagenome,1,ERR3224610,PRJEB31266,10,other,37190,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
